Warehouse,Space,Address,City,State,price_year,price_month,Type,Space_Available,Building_Size,Ammenities
34,56,6950 Train Bridge Loop,Missoula,Montana,7.25,0.6,Industrial,5000,10000,"Newly constructed warehouse/flex space near the Wye interchange now ready for you to customize. The building is 18' clear span with a 14' overhead door for each unit. Three phase, 200A electric service available for each unit. A total of 7,500sf of space available, divisible to 2,500sf suites. Each unit has a bathroom and overhead gas unit heater. Call listing agent for more details."
35,57,1922 Airport Ct,Great Falls,Montana,5,0.42,Industrial,3725,5950,"Great shop or distribution location. Subject property is a block construction shop building with 7 storage bay including one 70-foot pull through bay. Building dimensions are 70 feet by 85 feet. Small office, kitchen and restroom facilities also included. Shop is heated. Building is located at the northeast corner of the Great Falls International Airport. Location is less than a quarter mile from Montana FedEx hub, US Customs inspection service, Interstate 15s and the airline terminal. Fully fenced secure location."
36,58,8462 Highway 200,Bonner,Montana,4.5,0.38,Industrial,22000,587800,Lighting Gas Water Sewer
37,59,3750 Wise Ln,Billings,Montana,1,0.08,Industrial,19200,19200,"*19,200 SF Warehouse 
*14 ft Entry Door 
*10 ft sidewalls 
*No Power, No Heat, No Lights 
*Dirt/Gravel Floor 
*Skylights throughout the roof to let light in during the day 

Warehouse will be available September 1st. 

NOTE: 1,480 SF shop/warehouse also for lease adjacent to the 19,800 SF warehouse for an additional $900/mo"
38,60,5229 King Ave W,Billings,Montana,6,0.5,Industrial,2400,40800,"Property Highlights:
1,800 & 2,400 Square Foot Units
Insulated with metal finish interior walls
Finished Office Space with Restroom
16' Side Walls
14' Overhead Doors
Walk-in Door
Well lit
Natural Gas Heat
Water & Sewer provided by cistern & septic
Zoned Community Commercial

Location Highlights:
Prime West End Location
Convenient Access to Interstate 90
Professional setting 
 Nicely Landscaped Surroundings
Roads Provide Easy Access For Semi' s
FOR LEASE $5.99 PSF NNN , Fenced Lot"
38,61,5229 King Ave W,Billings,Montana,6,0.5,Industrial,2400,40800,
38,62,5229 King Ave W,Billings,Montana,6,0.5,Industrial,2400,40800,
39,63,12211 Spring Brook Dr,Eagle River,Alaska,27.6,2.3,Industrial,4360,4360,"4,360 SF warehouse/ office building for sub-lease in Eagle River. Space is divided as 2,600 SF warehouse/ shop, 1,160 SF 2nd floor mezzanine, and 600 SF office space. Three 12' overhead doors. 50,173 (1.15 acres) fenced parcel zoned I-1. Property is serviced by public electricity and gas, with water/ sewer on well & septic. Current lease expires 11/30/2035. Approx. $10,000/ month, plus utilities."
40,64,7613 W Buttercup Dr,Wasilla,Alaska,12,1,Industrial,5912,6622,"5,912 SF industrial building on a 2.05 acre fenced parcel. Building provides warehouse/ shop space, office space, and mezzanine storage. Two overhead doors; one 14'x16' and one 20'x8'. Doors are on opposing sides of the shop allowing for a drive-through bay. 17' ceilings in the warehouse. Excellent location and great signage potential. $1.00/ SF plus utilities. See package under attachments."
41,65,4721 E Bogard Rd,Wasilla,Alaska,14.7,1.23,Industrial,6320,10800,Freezer (Space) Mezzanine
42,66,2125 E 79th ave,Anchorage,Alaska,13.2,1.1,Industrial,34984,56945,"Large warehouse distribution facility with Yard. Approx 29,000 warehouse with 22 ft ceilings, 2-story office approx. 5,984 SF, usable mezzanine approx. 2,480 SF, 5 dock & 1 overhead door, sprinklers, fenced yard, room for trailer parking, original floor plans avail. Offered at $1.10 psf NNN.

Commision equal to 2.5% of gross rent over years 1-5 and 1.25% thereafter LESS any tenant improvements"
43,67,3201 International St,Fairbanks,Alaska,12,1,Industrial,6000,8000,"Warehouse that can be converted easily into 2 units if a wall is built in the center of the shop. It currently is 8,000 sq ft (+/-) total, 700 sq ft is
office space and 700 sq ft of mezzanine not included in the sq ft total. •Foundation is Monolithic slab with 12""x24: footing with 3 ff5 bars
continuous #4 bar ties at 48"" oc. Slab has 5"" 3500 Tb. Mix concrete and #4 bar at 24""oc each way. •Exterior bearing walls are 2' x 8' at 24""
oc. and have twin ribbed, metal siding and trim •Roof trusses are free-span engineered trusses with 19/32 OSB. Metal roofing. •Ceilings
have 5/8"" GWB taped & painted. •All interior walls have 5/8"" GWB taped, primed & newly painted. •Windows are double pane, Low-E,
Casement. •Six exterior personnel doors are metal clad doors. •Interior personnel doors are metal frames & solid core, with Contractor
grade hardware. Four overhead doors. •Office area has new carpet and restroom floors have vinyl tile. •Heating: Two gas boilers, one for
each side if building separated. •The site is entirely gravel filled and there is a chain link fence around the rear yard."
44,68,250 N Post Rd,Anchorage,Alaska,13.8,1.15,Industrial,10300,10300,Large fenced yard Close to Port of Anchorage
45,69,6200 A St,Anchorage,Alaska,15,1.25,Industrial,3500,3504,"Clean and well-built, contractor type building for lease. 1,000 SF warehouse/ shop space w/ one 12x12 OH door and one 9x9 dock loading door. 2,500 SF office space on two floors, well designed and very functional. Single phase, 240V power. Property also provides small mezzanine storage, 2 showers, security cameras & alarm system, forklift & air compressor, and small fenced yard in back. See package under attachments."
46,70,8001Petersburg St,Anchorage,Alaska,11.88,0.99,Industrial,29550,29550,"Versatile and well-equipped industrial building for lease. 29,550 SF building situated on 189,080 SF (4.34 acres) zoned I-1. Features +/-25' wall heights, 8 OH doors, overhead cranes, steel reinforced concrete slab and 277/480V – 4W, 600 AMP 3-phase power. $0.99/SF, NNN for the building and $0.06/SF for the 2-acres of excess yard. See flyer for more details under attachments."
47,71,4025 W 50th Ave,Anchorage,Alaska,15,1.25,Industrial,3127,23487,Reception Private Restrooms
48,72,34995 Kustatan St,Kenai,Alaska,7.44,0.62,Industrial,6304,6304,"4.37 Acre All 6,304 sf rents for $3,900/month. Space can be broken down and rental rate will be negotiable. Short distance from K-Beach & W. Poppy intersection. 3,000 Sq. Ft. heated shop & 480 Sq. Ft. office area with 1 bath plus 480 Sq. Ft. upper level break area with kitchenette & full bath, both interior & exterior stairway. 12 X 12 storage area, 1,400 Sq. Ft. storage bldg. & 800 Sq. Ft. shop bldg. with covered concrete ramp leading to 14' overhead door. May lease all or part including 4.37 acre lot."
49,73,000 Halliburton Dr,Nikiski,Alaska,12.72,1.06,Industrial,9204,9204,New construction shop/hangar or warehouse. Features 1 large(70'x 21') fold out hangar door and 2(16' x 16') roll up overhead doors and 23' ceiling height. Offices can easily be added as well as tenants choice for yard space. Total lot size is 22.48 acres. Great location near both docks. Terms are negotiable.
50,74,1220-1320 E 68th Ave,Anchorage,Alaska,14.1,1.18,Office/Industrial,1952,29872,"Warehouse space with small office available for immediate occupancy in the Quest Business Park. Easy access to Midtown and South Anchorage.

SW corner of E. 68th and Homer Drive."
51,75,40902 Kalifornsky Beach Rd,Kenai,Alaska,17.4,1.45,Industrial,3600,3600,
52,76,1549 Davison St,Fairbanks,Alaska,12,1,Industrial,4500,4500,"4500 sq. ft. footprint. Warehouse, office, breakroom, laundry, tool room on ground floor. 1 bedroom apartment upstairs. 2000 sq. ft. cold storage building in 1 acre fenced and filled lot.

Off the Richardson Highway, just south of the Badger Road exchange. Property is near Fairbanks and North Pole with easy access to Eielson Air Force Base."
53,77,351 E 104th Ave,Anchorage,Alaska,15.24,1.27,Industrial,59252,59252,"South Anchorage warehouse/office facility located on 5.15 acres of I-2 land. All or part available. Warehouse 43,852 SF, office 11,400 SF, mezzanine 4,000 SF. Mezzanine is reinforced & can be easily converted to office space with windows. Approx. 100,000 SF excess yard space. Lease rate is $75,000/month NNN for the entire property.

A new 30,000 SF warehouse addition can be constructed for the right tenant and terms.

Existing tenants are exclusions from this listing.

From Dimond Blvd, south on King Street, east on 104th , property on your left. Or south on C Street, east on 104th , just east of Target."
54,78,1101 Well St,Fairbanks,Alaska,8.4,0.7,Industrial,7500,25000,"This dock high warehouse is shared with Alaska Communications and their garage facility. We have various options for configuration of your leased warehouse space.

The property is conveniently located in the AK railroad industrial area in the heart of Fairbanks and Alaska. Rail access is possible, distribution to downtown or all directions N,S,E and West are easily accessible."
55,79,550 W 64th Ave,Anchorage,Alaska,13.2,1.1,Industrial,62668,62668,11- Dock high doors 1- Overhead door Yard for trailers Sprinklered 3-Phase power Floor drain
56,80,2799 Rampart Dr,Anchorage,Alaska,13.8,1.15,Industrial,10500,10500,"Approx. 9,300sf warehouse and 1,200sf office. 66,000sf fenced yard/storage, Two 14 x 16 overhead doors, one 8 x 8 delivery door, 20 foot eave height, 3-phase 400amp. This is a sublease, main lease runs thru 12/31/21. Subtenant to lease all space Subtenant pays all operating costs, pass through of taxes and insurance. Landlord pays structural, roof, slab, HVAC. Current tenant will provide subleasee with $50,000 FREE RENT with full price offer."
57,81,1910 1st Ave N,Fargo,North Dakota,7,0.58,Industrial,14169,14169,Lighting Gas Water Sewer Heating
58,82,10285 3rd St SW,Killdeer,North Dakota,9.75,0.81,Industrial,10000,10000,Kitchen Facilities Reception
59,83,601 Gilbertson St SE,Tioga,North Dakota,15,1.25,Industrial,7000,7000,"Dedicated Shower Facilities Reception
Kitchen Facilities"
60,84,4946 Hwy 85,Williston,North Dakota,14,1.17,Industrial,19240,19240,"Air Conditioning Private Restrooms
Print/Copy Room"
61,85,4942 Highway 85,Williston,North Dakota,14,1.17,Industrial,12000,12000,"roperty is currently leased until 10/01/2019. One 80' x 120' building = 12,000 SF; 8,000 SF Shop; 2,000 SF Wash Bay; 2,000 SF Office (4 private offices, 2 private restrooms, break room, locker room & parts area); 2,000 SF Mezzanine (includes 192 SF storage room). Can be purchased or leased in conjunction with 4946 Highway 85 (19,420 SF industrial building on 2.19 acres) which is right next door.
Amenities 
Air Conditioning 
Secure Storage 
Central Heating 
Private Restrooms 
Partitioned Offices"
62,86,5072 Bennett Loop,Williston,North Dakota,13.5,1.13,Industrial,9900,11900,"High quality ± 9,900 SF single tenant shop, office & ± 2 - 3 acre yard
Building dimensions: 66 x 150
± 9,900 SF single tenant shop, office &amp; yard, Fenced Lot 
Yard 
Mezzanine 
± 8,000 SF of shop space
± (2) stories of office built out
± 2,000 SF downstairs
± 2,000 SF upstairs
Conference rooms, kitchenette(s) &amp; multiple bathrooms w/ showers
Additional +/- 1.2 acres available adjacent for: $1,200/month (Stabilized and fenced)
Multi-zone In floor heating system
(2) one ton Jib cranes
Multiple trench drains with sand/oil separator system
(5) 14 x 16 overhead doors with protective ballards
Large concrete aprons
Ideally located near the intersection of HWY 2 &amp; HWY 85
Can modify the building to suit your needs"
62,87,5072 Bennett Loop,Williston,North Dakota,13.5,1.13,Industrial,2000,11900,
63,88,2530 132nd Ave NW,Arnegard,North Dakota,12.96,1.08,Industrial,10000,10000,"10,000 SF warehouse includes 2,000 SF office/storage space and 8,000 sq ft of shop. Sits on 5 acres Ceiling height: 18' Five roll up doors; includes three 26' x 80' drive in bays Three of five roll up doors are 14' high with room to go higher Includes separate retail entrance Easy access to Highway 85 Eight miles to Watford City, ND Located near the dump in the Arnegard Industrial Park
Description
10,000 SF warehouse includes 2,000 SF office/storage space and 8,000 sq ft of shop. 
Sits on 5 acres
Ceiling height: 18' 
Five roll up doors; includes three 26' x 80' drive in bays
Three of five roll up doors are 14' high with room to go higher
Includes separate retail entrance
Easy access to Highway 85
Eight miles to Watford City, ND
Located near the dump in the Arnegard Industrial Park
2 Year lease minimum"
64,89,5302 22nd Ave W,Williston,North Dakota,15,1.25,Industrial,12151,12151,"Property is 12,151 SF on 14 AC total. Lease includes 12,151 SF and 5 AC, additional acreage can be leased at $1,000/MO/AC. For Sale: CALL FOR PRICING
For Lease: $15/SF NNN
Each additional AC after 5 AC is $1,000/AC/MO
12,151 SF industrial and office building on 14+/- AC 
- 7,651 SF office space
- 4,500 SF industrial space
(2) 16’ drive through bays
135 truck plug-ins
One bay equipped with a pit
Located just five miles northwest of downtown Williston and two miles west of Highway 2
Ideally located in the heart of Bakken oil and gas activity near to area suppliers and providers."
65,90,896 22nd Ave N,Wahpeton,North Dakota,5.25,0.44,Industrial,38000,38250,"Turn-key warehouse for sale in Wahpeton, ND. Clean, well maintained building with office furniture included and six-foot reinforced concrete floors throughout. Food grade facility with floor drains and propane curtailment system. Water pump booster provides additional water pressure to the building. Also available for lease.Adjacent Land: Lots 7/8 are available either as a package with the warehouse or can be sold seperately (3.22 acres). Can be used for future expansion. Mezzanine"
66,91,1910 50th St W,Williston,North Dakota,14,1.17,Industrial,3500,39000,Air conditioning
66,92,1910 50th St W,Williston,North Dakota,14,1.17,Industrial,3500,39000,
66,93,1910 50th St W,Williston,North Dakota,14,1.17,Industrial,3500,39000,
67,94,205 42nd St SE,Minot,North Dakota,12,1,Industrial,7200,279328,
68,95,1150 S 46th St,Grand Forks,North Dakota,7,0.58,Industrial,40026,40026,"Large industrial shop/warehouse for lease in the Industrial Park. Former GF Herald printing press building. 20' clear height in most areas of building. 5- 10'x10' o/h doors, 2- below grade loading docks and one above grade, 3 phase power, No structural interior walls, 48 parking stalls"
69,96,3804 NE 17th Ave,Watford City,North Dakota,18,1.5,Industrial,11300,11300,"Natural Light , Private Restrooms , Security System, FOR SALE: $2,100,000
FOR LEASE: $18.00/SF NNN
11,300 SF shop and office buildings on a 10 AC site:
8,000 SF drive-thru maintenance garage w/ mezzanine
3,300 SF office building
Stabilized and treated yard
Security system with alarms and cameras
Utilities: Electric and well water
Ideally located half a mile Northeast of CBD Watford City, a large hub for Bakken energy activity
This property is one of the few remaining industrial assets of this type/size available in the Watford City market"
70,97,3217 111th Ave SW,Dickinson,North Dakota,12,1,Industrial,5000,10000,"FOR SUBLEASE: $12/SF NNN
5,000 SF shop, showroom and office space with a 0.98 AC controlled access fenced storage yard
Office space includes: 
(2) Offices
Open office area
Conference room
IT room 
Break room
(2) Bathrooms
Shop space includes: 
(2) 16’x16’ overhead doors with electronic openers
(2) Hanging natural gas fire unit heaters
3 phase – 400 amp panel
6 parking spaces 
Fire alarm system
Sand/oil separator with high strength grate
Ideally located with excellent ingress/egress"
71,98,6416 Wilckum Rd,Williston,North Dakota,18,1.5,Industrial,4000,17850,"PROPERTY HIGHLIGHTS • Sublease of 4,000 Sq Ft • Total Size: 4,000 SF- 3,500 SF Shop & 500 SF Office/Showroom • Great Access & Location Just Off Highways 85 & 2. • Near Hot Drilling Area at the 13 Mile Corner • Two Drive-in Bays, One Drive Through Bay • Current Tenant Outgrew Space • Available For Immediate Move In"
72,99,629 20th Ave,Minot,North Dakota,4.57,0.38,Industrial,4000,10500,"Does your business need storage?! How about just an indoor area to do odds and ends?! This 4,000 sq ft shop space is in a secured fenced area in SE Minot. There are two overhead garage doors that are 12 x 16 ft each. There is limited electrical and heat, typically kept at 40 degrees in the winter, no water or bathroom access. Landlord pays utilities, taxes, and insurance for the space. There is also outdoor yard space available for lease."
73,100,5806 Baldwin ln,Williston,North Dakota,14,1.17,Industrial,5000,14000,"FOR LEASE: $14/SF NNN
• Unit 1 | 5,000 SF end unit
• Includes 14 foot roll-up door, office space, and bathroom
• Situated in the Missouri Ridge Commercial Park just North of downtown Williston, the economic center of the Bakken
• In close proximity to numerous oil and oil service companies"
74,101,4001 32nd St N,Fargo,North Dakota,5.5,0.46,Industrial,54500,293496,"Air Conditioning , Large, dock high distribution warehouse with office space, 26 ft clear ceiling height and easy access to I-29!"
75,102,3911 37th Ave S,Fargo,North Dakota,5.9,0.49,Industrial,14000,26000,Floor Drains
75,103,3911 37th Ave S,Fargo,North Dakota,10.5,0.88,Industrial,4960,26000,
75,104,3911 37th Ave S,Fargo,North Dakota,6.25,0.52,Industrial,7040,26000,
76,105,16 Heidi Ln,Ross,North Dakota,9.5,0.79,Industrial,7200,7200,"FOR SALE: PRICE REDUCTION- $595,000
FOR LEASE (SHOP): $9.50/SF NNN 
FOR LEASE (HOUSING): $5,000/MO
7,200 SF industrial shop
Four drive-thru bays with 14’ overhead doors
Two drive-thrus are full length
Two drive-thrus are tractor length
Small office located in shop area
Man camp/housing includes 20 small bedrooms, kitchen area and laundry facility
6.02 AC yard
Ample parking with 14 trailer plug-ins
Property has access to city water
Located in Ross, ND"
77,106,2655 6th Ave S,Saint Petersburg,Florida,5.6,0.47,Industrial,,,
78,107,1825 Sunset Point Rd,Clearwater,Florida,14,1.17,Industrial,7976,8000,
79,108,2655 6th Ave S,Saint Petersburg,Florida,5.6,0.47,Industrial,,,
80,109,3749 Wd Judge Rd,Orlando,Florida,6.6,0.55,Industrial,28078,110400,
81,110,408 Brookmeade Dr,Crestview,Florida,5.25,0.44,Industrial,59064,59086,
82,111,5814 Merritt Brown Rd,Panama City,Florida,6.73,0.56,Industrial,5708,5708,
83,112,8286 Western Way Cir,Jacksonville,Florida,7.75,0.65,Industrial,5400,54000,
83,113,8286 Western Way Cir,Jacksonville,Florida,7.75,0.65,Industrial,2700,54000,
83,114,8286 Western Way Cir,Jacksonville,Florida,7.75,0.65,Industrial,2700,54000,
